20170709 07:00:00,290601,290756,290373,290695
20170709 07:15:00,290700,291471,290581,290843
20170709 07:30:00,290898,291559,290731,291600
20170709 07:45:00,291600,291601,291001,291418
20170709 08:00:00,291400,291660,291077,291604
20170709 08:15:00,291601,291721,291350,291520
20170709 08:30:00,291489,291805,291320,291623
20170709 08:45:00,291412,291928,291385,291886
20170709 09:00:00,291886,291988,291580,291943
20170709 09:15:00,291988,292800,291832,292800
20170709 09:30:00,292800,292800,291590,292111
20170709 09:45:00,292100,292300,292100,292103
20170709 10:00:00,292102,292111,291586,292144
20170709 10:15:00,292144,292500,292000,292194
20170709 10:30:00,292194,292500,291715,291747
20170709 10:45:00,291715,292189,291501,292000
20170709 11:00:00,292189,292340,291730,291763
20170709 11:15:00,291791,292437,291643,291889
20170709 11:30:00,291939,291950,291615,291949
20170709 11:45:00,291900,292260,291717,292250
20170709 12:00:00,292240,292510,291941,292610
20170709 12:15:00,292610,293280,292201,293249
20170709 12:30:00,293270,293333,292671,292918
20170709 12:45:00,292919,293300,292600,292785
20170709 13:00:00,292785,293058,292500,292951
20170709 13:15:00,292951,292989,292650,292919
20170709 13:30:00,292919,293300,292801,292881
20170709 13:45:00,292879,293300,292850,292926
20170709 14:00:00,292926,292999,292340,292809
20170709 14:15:00,292395,293080,292281,292771
20170709 14:30:00,292699,292699,291501,291890
20170709 14:45:00,291890,292210,291250,291409
20170709 15:00:00,291409,291487,290660,290724
20170709 15:15:00,290660,290940,289500,289530
20170709 15:30:00,289530,290879,289391,290659
20170709 15:45:00,290658,291000,289897,290211
20170709 16:00:00,290496,291232,290281,290990
20170709 16:15:00,290990,291200,290300,290980
20170709 16:30:00,290980,291220,290231,290797
20170709 16:45:00,290797,291000,290149,290469
20170709 17:00:00,290469,290520,290012,290043
20170709 17:15:00,290081,290249,289361,289634
20170709 17:30:00,289644,290000,289361,289686
20170709 17:45:00,290057,290119,288930,289000
20170709 18:00:00,289000,289600,288911,289201
20170709 18:15:00,289511,290289,289181,290167
20170709 18:30:00,290167,290430,289570,289811
20170709 18:45:00,289811,289811,289296,289488
20170709 19:00:00,289422,290000,289370,289566
20170709 19:15:00,289510,290050,289500,289947
20170709 19:30:00,290064,290380,289829,290320
20170709 19:45:00,290340,290640,290056,290300
20170709 20:00:00,290302,290462,289670,290124
20170709 20:15:00,290124,290390,289929,290430
20170709 20:30:00,290430,290900,290251,290388
20170709 20:45:00,290388,290900,290388,290450
20170709 21:00:00,290691,290813,290110,290439
20170709 21:15:00,290489,290827,290160,290528
20170709 21:30:00,290528,291000,290331,290400
20170709 21:45:00,290414,290688,289730,289994
20170709 22:00:00,289999,290472,289864,290271
20170709 22:15:00,290285,290330,289517,289531
20170709 22:30:00,289517,290109,289500,290070
20170709 22:45:00,290070,290525,289712,290450
20170709 23:00:00,290455,290800,290036,290500
20170709 23:15:00,290500,290800,290072,290460
20170709 23:30:00,290515,290690,290100,290506
20170709 23:45:00,290506,290535,290050,290087
